uid	X1	X2	X3	V1	V2	V3	V4	V5	Dh
1	50	0.02	0.00	8381	4.29	187.60	2.48	1.54	0.00
2	60	.02	.00	7200	5.06	191.1	2.50	1.31	0.74
3	55	.02	.02	9927	4.58	190.4	2.52	1.41	0.44
4	50	.02	.04	11611	4.13	190.1	2.54	1.50	0.00
5	60	.02	.04	8380	5.35	193.6	2.63	1.23	0.64
6	55	.03	.00	6947	4.44	190.2	2.41	1.41	0.34
7	50	.03	.02	8927	4.00	187.20	2.47	1.47	0.00
8	55	.03	.02	8453	4.47	190.1	2.50	1.38	0.56
9	60	.03	.02	6947	5.11	191.2	2.57	1.24	0.65
10	55	.03	.04	8927	4.58	192.20	2.58	1.35	0.70
11	50	.04	.00	6600	3.95	187.20	2.42	1.46	0.00
12	60	.04	.00	5870	4.97	191.7	2.54	1.26	0.53
13	55	.04	.02	8147	4.44	190.0	2.57	1.35	0.50
14	50	.04	.04	9380	3.94	188.70	2.61	1.42	0.06
15	60	.04	.04	6600	5.41	193.2	2.80	1.18	0.08
79	47.50	0.02	0.03	9540	4.90	192.00	2.56	1.33	0.82
